I	ഒന്ന്
II	രണ്ട്
III	മൂന്ന്
IV	നാല്
V	അഞ്ച്
VI	ആറ്
VII	ഏഴ്
VIII	എട്ട്
IX	ഒമ്പത്
X	പത്ത്
XI	പതിനൊന്ന്
XII	പന്ത്രണ്ട്
XIII	പതിമൂന്ന്
XIV	പതിനാല്
XV	പതിനഞ്ച്
XVI	പതിനാറ്
XVII	പതിനേഴ്
XVIII	പതിനെട്ട്
XIX	പത്തൊമ്പത്
XX	ഇരുപത്
XXI	ഇരുപത്തിയൊന്ന്
XXII	ഇരുപത്തിരണ്ട്
XXIII	ഇരുപത്തിമൂന്ന്
XXIV	ഇരുപത്തിനാല്
XXV	ഇരുപത്തിയഞ്ച്
XXVI	ഇരുപത്തിയാറ്
XXVII	ഇരുപത്തിയേഴ്
XXVIII	ഇരുപത്തിയെട്ട്
XXIX	ഇരുപത്തിയൊമ്പത്
XXX	മുപ്പത്
XXXI	മുപ്പത്തിയൊന്ന്
XXXII	മുപ്പത്തിരണ്ട്
XXXIII	മുപ്പത്തിമൂന്ന്
XXXIV	മുപ്പത്തിനാല്
XXXV	മുപ്പത്തിയഞ്ച്
XXXVI	മുപ്പത്തിയാറ്
XXXVII	മുപ്പത്തിയേഴ്
XXXVIII	മുപ്പത്തിയെട്ട്
XXXIX	മുപ്പത്തിയൊമ്പത്
XL	നാല്പത്
XLI	നാല്പത്തിയൊന്ന്
XLII	നാല്പത്തിരണ്ട്
XLIII	നാല്പത്തിമൂന്ന്
XLIV	നാല്പത്തിനാല്
XLV	നാല്പത്തിയഞ്ച്
XLVI	നാല്പത്തിയാറ്
XLVII	നാല്പത്തിയേഴ്
XLVIII	നാല്പത്തിയെട്ട്
XLIX	നാല്പത്തിയൊമ്പത്
L	അമ്പത്
LI	അമ്പത്തിയൊന്ന്
LII	അമ്പത്തിരണ്ട്
LIII	അമ്പത്തിമൂന്ന്
LIV	അമ്പത്തിനാല്
LV	അമ്പത്തിയഞ്ച്
LVI	അമ്പത്തിയാറ്
LVII	അമ്പത്തിയേഴ്
LVIII	അമ്പത്തിയെട്ട്
LIX	അമ്പത്തിയൊമ്പത്
LX	അറുപത്
LXI	അറുപത്തിയൊന്ന്
LXII	അറുപത്തിരണ്ട്
LXIII	അറുപത്തിമൂന്ന്
LXIV	അറുപത്തിനാല്
LXV	അറുപത്തിയഞ്ച്
LXVI	അറുപത്തിയാറ്
LXVII	അറുപത്തിയേഴ്
LXVIII	അറുപത്തിയെട്ട്
LXIX	അറുപത്തിയൊമ്പത്
LXX	എഴുപത്
LXXI	എഴുപത്തിയൊന്ന്
LXXII	എഴുപത്തിരണ്ട്
LXXIII	എഴുപത്തിമൂന്ന്
LXXIV	എഴുപത്തിനാല്
LXXV	എഴുപത്തിയഞ്ച്
LXXVI	എഴുപത്തിയാറ്
LXXVII	എഴുപത്തിയേഴ്
LXXVIII	എഴുപത്തിയെട്ട്
LXXIX	എഴുപത്തിയൊമ്പത്
LXXX	എൺപത്
LXXXI	എൺപത്തിയൊന്ന്
LXXXII	എൺപത്തിരണ്ട്
LXXXIII	എൺപത്തിമൂന്ന്
LXXXIV	എൺപത്തിനാല്
LXXXV	എൺപത്തിയഞ്ച്
LXXXVI	എൺപത്തിയാറ്
LXXXVII	എൺപത്തിയേഴ്
LXXXVIII	എൺപത്തിയെട്ട്
LXXXIX	എൺപത്തിയൊമ്പത്
XC	തൊണ്ണൂറ്
XCI	തൊണ്ണൂറ്റിയൊന്ന്
XCII	തൊണ്ണൂറ്റിരണ്ട്
XCIII	തൊണ്ണൂറ്റിമൂന്ന്
XCIV	തൊണ്ണൂറ്റിനാല്
XCV	തൊണ്ണൂറ്റിയഞ്ച്
XCVI	തൊണ്ണൂറ്റിയാറ്
XCVII	തൊണ്ണൂറ്റിയേഴ്
XCVIII	തൊണ്ണൂറ്റിയെട്ട്
XCIX	തൊണ്ണൂറ്റിയൊമ്പത്
C	നൂറ്
