হৰিণ
মাছ
ভেড়া
ভৰি	ভৰি
হাঁহ	হাঁহ
মানুহ	মানুহ
নিগনি	নিগনি
দাঁত	দাঁত
মহিলা	মহিলা
শিশু	শিশু
পত্নী	পত্নীসকল
পাউণ্ড
শতাংশ
হাৰ্টজ
ইঞ্চি	ইঞ্চি
কেলৰি	কেলৰি
য়েন
মেগা হাৰ্টজ
গিগা হাৰ্টজ
কিলো হাৰ্টজ
হাৰ্টজ
আৰু
অশ্বশক্তি
কিলোগ্ৰাম বল	কিলোগ্ৰাম বল
প্ৰতি ঘণ্টা মাইল	প্ৰতি ঘণ্টা মাইল
প্ৰতি ছেকেণ্ড মেগাবিট	প্ৰতি ছেকেণ্ড মেগাবিট
বৰ্গ ফুট	বৰ্গ ফুট
প্ৰতি ছেকেণ্ড চেণ্টিমিটাৰ	প্ৰতি ছেকেণ্ড চেণ্টিমিটাৰ
প্ৰতি ছেকেণ্ড মিটাৰ	প্ৰতি ছেকেণ্ড মিটাৰ
প্ৰতি ছেকেণ্ড কিলোমিটাৰ	প্ৰতি ছেকেণ্ড কিলোমিটাৰ
প্ৰতি ঘণ্টা মিটাৰ	প্ৰতি ঘণ্টা মিটাৰ
প্ৰতি ছেকেণ্ড বিট	প্ৰতি ছেকেণ্ড বিট
প্ৰতি ঘণ্টা কিলোমিটাৰ	প্ৰতি ঘণ্টা কিলোমিটাৰ
ডিগ্ৰী চেলছিয়াছ	ডিগ্ৰী চেলছিয়াছ
ডিগ্ৰী ফাৰেনহাইট	ডিগ্ৰী ফাৰেনহাইট
কেলভিন	কেলভিন
