°C	डिग्री सेल्सियस
°F	डिग्री फारेनहाइट
K	केल्विन
g	ग्राम
kg	किलोग्राम
mg	मिलीग्राम
cg	सेंटीग्राम
dg	डेसीग्राम
Tg	टेराग्राम
Mg	मेगाग्राम
Gg	गीगाग्राम
hg	हेक्टोग्राम
dag	डेकाग्राम
lb	पाउंड
oz	औंस
t	टन
st	स्टोन
q	क्विंटल
m	मीटर
cm	सेंटीमीटर
mm	मिलीमीटर
km	किलोमीटर
dm	डेसीमीटर
dam	डेकामीटर
nm	नैनोमीटर
hm	हेक्टोमीटर
Mm	मेगामीटर
mi	मील
ft	फुट
in	इंच
yd	गज
µm	माइक्रोमीटर
m²	वर्ग मीटर
cm²	वर्ग सेंटीमीटर
mm²	वर्ग मिलीमीटर
km²	वर्ग किलोमीटर
hm²	वर्ग हेक्टोमीटर
dm²	वर्ग डेसीमीटर
dam²	वर्ग डेकामीटर
yd²	वर्ग गज
ft²	वर्ग फुट
ac²	वर्ग एकड़
mi²	वर्ग मील
nm²	वर्ग नैनोमीटर
µm²	वर्ग माइक्रोमीटर
in²	वर्ग इंच
ha	हेक्टेयर
ac	एकड़
m³	घन मीटर
cm³	घन सेंटीमीटर
mm³	घन मिलीमीटर
dam³	घन डेकामीटर
µm³	घन माइक्रोमीटर
l	लीटर
kl	किलोलीटर
ml	मिलीलीटर
dl	डेसीलीटर
hl	हेक्टोलीटर
cl	सेंटीलीटर
dal	डेकालीटर
L	लीटर
kL	किलोलीटर
mL	मिलीलीटर
dL	डेसीलीटर
hL	हेक्टोलीटर
cL	सेंटीलीटर
daL	डेकालीटर
GB	गीगाबाइट
in³	घन इंच
ft³	घन फुट
yd³	घन गज
mi³	घन मील
dm³	घन डेसीमीटर
km³	घन किलोमीटर
nm³	घन नैनोमीटर
qt	क्वार्ट
gal	गैलन
pt	पाइंट
W	वाट
MW	मेगावाट
KW	किलोवाट
kW	किलोवाट
b	बिट
Mb	मेगाबिट
B	बाइट
KB	किलोबाइट
TB	टेराबाइट
MB	मेगाबाइट
PB	पेटाबाइट
EB	एक्साबाइट
ZB	जेटाबाइट
YB	योटाबाइट
C	कूलम्ब
V	वोल्ट
Pa	पास्कल
A	एम्पियर
J	जूल
s	सेकंड
sec	सेकंड
hr	घंटा
h	घंटा
min	मिनट
Ω	ओम
MΩ	मेगाओम
doz	दर्जन
Hz	हर्ट्ज
GHz	गीगाहर्ट्ज
KHz	किलोहर्ट्ज
kHz	किलोहर्ट्ज
N	न्यूटन
dB	डेसीबल
yr	साल
hp	हॉर्सपावर
d	दिन
month	महीना
months	महीने
ct	कैरेट
pH	पीएच
km/h	किलोमीटर प्रति घंटा
km/hr	किलोमीटर प्रति घंटा
km/min	किलोमीटर प्रति मिनट
m/h	मीटर प्रति घंटा
m/hr	मीटर प्रति घंटा
mi/s	मील प्रति सेकंड
mi/h	मील प्रति घंटा
mi/hr	मील प्रति घंटा
mi/min	मील प्रति मिनट
x	गुना
X	गुना
*	गुना
%	प्रतिशत
