°C	ഡിഗ്രി സെൽഷ്യസ്
°F	ഡിഗ്രി ഫാരൻഹീറ്റ്
K	കെൽവിൻ
g	ഗ്രാം
kg	കിലോഗ്രാം
mg	മില്ലിഗ്രാം
cg	സെന്റിഗ്രാം
dg	ഡെസിഗ്രാം
Tg	ടെറാഗ്രാം
Mg	മെഗാഗ്രാം
Gg	ഗിഗാഗ്രാം
hg	ഹെക്ടോഗ്രാം
dag	ഡെക്കാഗ്രാം
lb	പൗണ്ട്
oz	ഔൺസ്
t	ടൺ
st	സ്റ്റോൺ
q	ക്വിന്റൽ
m	മീറ്റർ
cm	സെന്റിമീറ്റർ
mm	മില്ലിമീറ്റർ
km	കിലോമീറ്റർ
dm	ഡെസിമീറ്റർ
dam	ഡെക്കാമീറ്റർ
nm	നാനോമീറ്റർ
hm	ഹെക്ടോമീറ്റർ
Mm	മെഗാമീറ്റർ
my	മിരിയാമീറ്റർ
mi	മൈൽ
ft	അടി
in	ഇഞ്ച്
yd	യാർഡ്
µm	മൈക്രോമീറ്റർ
m²	ചതുരശ്ര മീറ്റർ
cm²	ചതുരശ്ര സെന്റിമീറ്റർ
mm²	ചതുരശ്ര മില്ലിമീറ്റർ
km²	ചതുരശ്ര കിലോമീറ്റർ
hm²	ചതുരശ്ര ഹെക്ടോമീറ്റർ
dm²	ചതുരശ്ര ഡെസിമീറ്റർ
dam²	ചതുരശ്ര ഡെക്കാമീറ്റർ
yd²	ചതുരശ്ര യാർഡ്
ft²	ചതുരശ്ര അടി
ac²	ചതുരശ്ര ഏക്കർ
my²	ചതുരശ്ര മിരിയാമീറ്റർ
mi²	ചതുരശ്ര മൈൽ
nm²	ചതുരശ്ര നാനോമീറ്റർ
µm²	ചതുരശ്ര മൈക്രോമീറ്റർ
in²	ചതുരശ്ര ഇഞ്ച്
my³	ഘനമീറ്റർ മിരിയാമീറ്റർ
mi³	ഘനമീറ്റർ മൈൽ
ac³	ഘനമീറ്റർ ഏക്കർ
ha	ഹെക്ടർ
ac	ഏക്കർ
ഗജ	ഗജ
ഗജ²	ചതുരശ്ര ഗജ
ഗജ³	ഘനമീറ്റർ ഗജ
m³	ഘനമീറ്റർ
cm³	ഘനസെന്റിമീറ്റർ
mm³	ഘനമില്ലിമീറ്റർ
dam³	ഘനഡെക്കാമീറ്റർ
µm³	ഘനമൈക്രോമീറ്റർ
ml³	ഘനമില്ലിലിറ്റർ
l	ലിറ്റർ
kl	കിലോലിറ്റർ
ml	മില്ലിലിറ്റർ
ml²	ചതുരശ്ര മില്ലിലിറ്റർ
dl	ഡെസിലിറ്റർ
hl	ഹെക്ടോലിറ്റർ
cl	സെന്റിലിറ്റർ
dal	ഡെക്കാലിറ്റർ
dl²	ചതുരശ്ര ഡെസിലിറ്റർ
dal²	ചതുരശ്ര ഡെക്കാലിറ്റർ
dl³	ഘനഡെസിലിറ്റർ
dal³	ഘനഡെക്കാലിറ്റർ
L	ലിറ്റർ
kL	കിലോലിറ്റർ
mL	മില്ലിലിറ്റർ
mL²	ചതുരശ്ര മില്ലിലിറ്റർ
mL³	ഘനമില്ലിലിറ്റർ
dL	ഡെസിലിറ്റർ
hL	ഹെക്ടോലിറ്റർ
cL	സെന്റിലിറ്റർ
daL	ഡെക്കാലിറ്റർ
dL²	ചതുരശ്ര ഡെസിലിറ്റർ
daL²	ചതുരശ്ര ഡെക്കാലിറ്റർ
dL³	ഘനഡെസിലിറ്റർ
daL³	ഘനഡെക്കാലിറ്റർ
GB	ഗിഗാബൈറ്റ്
in³	ഘനഇഞ്ച്
ft³	ഘനഅടി
yd³	ഘനയാർഡ്
my³	ഘനമിരിയാമീറ്റർ
mi³	ഘനമൈൽ
dm³	ഘനഡെസിമീറ്റർ
dm³	ഘനഡെസിമീറ്റർ
km³	ഘനകിലോമീറ്റർ
nm³	ഘനനാനോമീറ്റർ
mm³	ഘനമില്ലിമീറ്റർ
qt	ക്വാർട്ട്
gal	ഗാലൻ
pt	പിന്റ്
W	വാട്ട്
MW	മെഗാവാട്ട്
KW	കിലോവാട്ട്
b	ബിറ്റ്
Mb	മെഗാബിറ്റ്
B	ബൈറ്റ്
GB	ഗിഗാബൈറ്റ്
KB	കിലോബൈറ്റ്
TB	ടെറാബൈറ്റ്
MB	മെഗാബൈറ്റ്
PB	പെറ്റാബൈറ്റ്
EB	എക്സാബൈറ്റ്
ZB	സെറ്റാബൈറ്റ്
YB	യോട്ടാബൈറ്റ്
BB	ബ്രോന്റോബൈറ്റ്
C	കൂലോം
V	വോൾട്ട്
Pa	പാസ്കൽ
A	ആമ്പിയർ
J	ജൂൾ
s	സെക്കൻഡ്
hr	മണിക്കൂർ
h	മണിക്കൂർ
min	മിനിറ്റ്
ha	ഹെക്ടർ
ha²	ചതുരശ്ര ഹെക്ടർ
Ω	ഓം
MΩ	മെഗാഓം
doz	ഡസൻ
Hz	ഹെർട്സ്
GHz	ഗിഗാഹെർട്സ്
KHz	കിലോഹെർട്സ്
N	ന്യൂട്ടൺ
dB	ഡെസിബെൽ
yr	വർഷം
hp	കുതിരശക്തി
d	ദിവസം
month	മാസം
months	മാസങ്ങൾ
ct	കാരറ്റ്
pH	പിഎച്ച്
km/h	കിലോമീറ്റർ മണിക്കൂറിൽ
km/hr	കിലോമീറ്റർ മണിക്കൂറിൽ
km/min	കിലോമീറ്റർ മിനിറ്റിൽ
m/h	മീറ്റർ മണിക്കൂറിൽ
m/hr	മീറ്റർ മണിക്കൂറിൽ
mi/s	മൈൽ സെക്കൻഡിൽ
mi/h	മൈൽ മണിക്കൂറിൽ
mi/hr	മൈൽ മണിക്കൂറിൽ
mi/min	മൈൽ മിനിറ്റിൽ
₹/ac	രൂപ ഏക്കറിൽ
x	ഗുണിച്ചാൽ
X	ഗുണിച്ചാൽ
*	ഗുണിച്ചാൽ
%	ശതമാനം
