I	एक
II	दो
III	तीन
IV	चार
V	पाँच
VI	छह
VII	सात
VIII	आठ
IX	नौ
X	दस
XI	ग्यारह
XII	बारह
XIII	तेरह
XIV	चौदह
XV	पंद्रह
XVI	सोलह
XVII	सत्रह
XVIII	अठारह
XIX	उन्नीस
XX	बीस
XXI	इक्कीस
XXII	बाईस
XXIII	तेईस
XXIV	चौबीस
XXV	पच्चीस
XXVI	छब्बीस
XXVII	सत्ताईस
XXVIII	अट्ठाईस
XXIX	उनतीस
XXX	तीस
XXXI	इकतीस
XXXII	बत्तीस
XXXIII	तैंतीस
XXXIV	चौंतीस
XXXV	पैंतीस
XXXVI	छत्तीस
XXXVII	सैंतीस
XXXVIII	अड़तीस
XXXIX	उनतालीस
XL	चालीस
XLI	इकतालीस
XLII	बयालीस
XLIII	तैंतालीस
XLIV	चौवालीस
XLV	पैंतालीस
XLVI	छियालीस
XLVII	सैंतालीस
XLVIII	अड़तालीस
XLIX	उनचास
L	पचास
LI	इक्यावन
LII	बावन
LIII	तिरेपन
LIV	चौवन
LV	पचपन
LVI	छप्पन
LVII	सत्तावन
LVIII	अट्ठावन
LIX	उनसठ
LX	साठ
LXI	इकसठ
LXII	बासठ
LXIII	तिरेसठ
LXIV	चौंसठ
LXV	पैंसठ
LXVI	छियासठ
LXVII	सड़सठ
LXVIII	अड़सठ
LXIX	उनहत्तर
LXX	सत्तर
LXXI	इकहत्तर
LXXII	बहत्तर
LXXIII	तिहत्तर
LXXIV	चौहत्तर
LXXV	पचहत्तर
LXXVI	छिहत्तर
LXXVII	सतहत्तर
LXXVIII	अठहत्तर
LXXIX	उनासी
LXXX	अस्सी
LXXXI	इक्यासी
LXXXII	बयासी
LXXXIII	तिरासी
LXXXIV	चौरासी
LXXXV	पचासी
LXXXVI	छियासी
LXXXVII	सत्तासी
LXXXVIII	अट्ठासी
LXXXIX	नवासी
XC	नब्बे
XCI	इक्यानबे
XCII	बानबे
XCIII	तिरानबे
XCIV	चौरानबे
XCV	पंचानबे
XCVI	छियानबे
XCVII	सत्तानबे
XCVIII	अट्ठानबे
XCIX	निन्यानबे
C	एक सौ
CI	एक सौ एक
CII	एक सौ दो
CIII	एक सौ तीन
CIV	एक सौ चार
CV	एक सौ पाँच
CVI	एक सौ छह
CVII	एक सौ सात
CVIII	एक सौ आठ
CIX	एक सौ नौ
CX	एक सौ दस
CXI	एक सौ ग्यारह
CXII	एक सौ बारह
CXIII	एक सौ तेरह
CXIV	एक सौ चौदह
CXV	एक सौ पंद्रह
CXVI	एक सौ सोलह
CXVII	एक सौ सत्रह
CXVIII	एक सौ अठारह
CXIX	एक सौ उन्नीस
CXX	एक सौ बीस
CXXI	एक सौ इक्कीस
CXXII	एक सौ बाईस
CXXIII	एक सौ तेईस
CXXIV	एक सौ चौबीस
CXXV	एक सौ पच्चीस
CXXVI	एक सौ छब्बीस
CXXVII	एक सौ सत्ताईस
CXXVIII	एक सौ अट्ठाईस
CXXIX	एक सौ उनतीस
CXXX	एक सौ तीस
CXXXI	एक सौ इकतीस
CXXXII	एक सौ बत्तीस
CXXXIII	एक सौ तैंतीस
CXXXIV	एक सौ चौंतीस
CXXXV	एक सौ पैंतीस
CXXXVI	एक सौ छत्तीस
CXXXVII	एक सौ सैंतीस
CXXXVIII	एक सौ अड़तीस
CXXXIX	एक सौ उनतालीस
CXL	एक सौ चालीस
CXLI	एक सौ इकतालीस
CXLII	एक सौ बयालीस
CXLIII	एक सौ तैंतालीस
CXLIV	एक सौ चौवालीस
CXLV	एक सौ पैंतालीस
CXLVI	एक सौ छियालीस
CXLVII	एक सौ सैंतालीस
CXLVIII	एक सौ अड़तालीस
CXLIX	एक सौ उनचास
CL	एक सौ पचास
CLI	एक सौ इक्यावन
CLII	एक सौ बावन
CLIII	एक सौ तिरेपन
CLIV	एक सौ चौवन
CLV	एक सौ पचपन
CLVI	एक सौ छप्पन
CLVII	एक सौ सत्तावन
CLVIII	एक सौ अट्ठावन
CLIX	एक सौ उनसठ
CLX	एक सौ साठ
CLXI	एक सौ इकसठ
CLXII	एक सौ बासठ
CLXIII	एक सौ तिरेसठ
CLXIV	एक सौ चौंसठ
CLXV	एक सौ पैंसठ
CLXVI	एक सौ छियासठ
CLXVII	एक सौ सड़सठ
CLXVIII	एक सौ अड़सठ
CLXIX	एक सौ उनहत्तर
CLXX	एक सौ सत्तर
CLXXI	एक सौ इकहत्तर
CLXXII	एक सौ बहत्तर
CLXXIII	एक सौ तिहत्तर
CLXXIV	एक सौ चौहत्तर
CLXXV	एक सौ पचहत्तर
CLXXVI	एक सौ छिहत्तर
CLXXVII	एक सौ सतहत्तर
CLXXVIII	एक सौ अठहत्तर
CLXXIX	एक सौ उनासी
CLXXX	एक सौ अस्सी
CLXXXI	एक सौ इक्यासी
CLXXXII	एक सौ बयासी
CLXXXIII	एक सौ तिरासी
CLXXXIV	एक सौ चौरासी
CLXXXV	एक सौ पचासी
CLXXXVI	एक सौ छियासी
CLXXXVII	एक सौ सत्तासी
CLXXXVIII	एक सौ अट्ठासी
CLXXXIX	एक सौ नवासी
CXC	एक सौ नब्बे
CXCI	एक सौ इक्यानबे
CXCII	एक सौ बानबे
CXCIII	एक सौ तिरानबे
CXCIV	एक सौ चौरानबे
CXCV	एक सौ पंचानबे
CXCVI	एक सौ छियानबे
CXCVII	एक सौ सत्तानबे
CXCVIII	एक सौ अट्ठानबे
CXCIX	एक सौ निन्यानबे
CC	दो सौ
